"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"439","1183","CHE+DWT","T5","11",0.19,11
"440","1183","CHE+DWT","T5","18",0.235,18
"441","1183","CHE+DWT","T5","24",0.258,24
"442","1183","CHE+DWT","T5","38",0.43,38
"443","1183","CHE+DWT","T5","46",0.806,46
"444","1183","CHE+DWT","T5","54",1.444,54
"445","1183","CHE+DWT","T5","60",1.592,60
"446","1183","CHE+DWT","T5","67",1.779,67
"447","1184","CHE+DWT","T5","11",0.194,11
"448","1184","CHE+DWT","T5","18",0.188,18
"449","1184","CHE+DWT","T5","24",0.288,24
"450","1187","CHE+DWT","T5","11",0.066,11
"451","1187","CHE+DWT","T5","18",0.307,18
"452","1187","CHE+DWT","T5","24",0.317,24
"453","1187","CHE+DWT","T5","38",0.499,38
"454","1188","CHE+DWT","T5","11",0.125,11
"455","1188","CHE+DWT","T5","18",0.203,18
"456","1188","CHE+DWT","T5","24",0.234,24
"457","1188","CHE+DWT","T5","38",0.336,38
"458","1188","CHE+DWT","T5","46",0.387,46
"459","1188","CHE+DWT","T5","54",0.512,54
"460","1188","CHE+DWT","T5","60",0.458,60
"461","1188","CHE+DWT","T5","67",0.65,67
"462","1189","CHE+DWT","T5","11",0.08,11
"463","1189","CHE+DWT","T5","18",0.102,18
"464","1189","CHE+DWT","T5","24",0.136,24
"465","1190","CHE+DWT","T5","11",0.106,11
"466","1190","CHE+DWT","T5","18",0.138,18
"467","1190","CHE+DWT","T5","24",0.212,24
"468","1190","CHE+DWT","T5","46",0.517,46
"469","1190","CHE+DWT","T5","54",0.725,54
"470","1190","CHE+DWT","T5","60",0.936,60
"471","1190","CHE+DWT","T5","67",1.357,67
"472","1191","CHE+DWT","T5","11",0.252,11
"473","1191","CHE+DWT","T5","18",0.273,18
"474","1191","CHE+DWT","T5","24",0.318,24
"475","1192","CHE+DWT","T5","11",0.094,11
"476","1192","CHE+DWT","T5","18",0.079,18
"477","1192","CHE+DWT","T5","24",0.178,24
"478","1192","CHE+DWT","T5","38",0.444,38
"479","1192","CHE+DWT","T5","46",0.716,46
"480","1192","CHE+DWT","T5","54",1.208,54
"481","1192","CHE+DWT","T5","60",1.485,60
"482","1192","CHE+DWT","T5","67",1.922,67
"483","1194","CHE+DWT","T5","11",0.174,11
"484","1194","CHE+DWT","T5","18",0.256,18
